Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10
2.713568e-01, 0, 0, 3.437413e-01, 6.416631e-01, 1.459559e-02, 0, 0, 0, 0, 0, 
2.763819e-01, 0, 0, 3.112169e-01, 6.665109e-01, 2.227216e-02, 0, 0, 0, 0, 0, 
2.814070e-01, 0, 0, 2.803086e-01, 6.881266e-01, 3.156486e-02, 0, 0, 0, 0, 0, 
2.864322e-01, 0, 0, 2.510164e-01, 7.065099e-01, 4.247367e-02, 0, 0, 0, 0, 0, 
2.914573e-01, 0, 0, 2.233403e-01, 7.216611e-01, 5.499861e-02, 0, 0, 0, 0, 0, 
2.964824e-01, 0, 0, 1.972804e-01, 7.335800e-01, 6.913967e-02, 0, 0, 0, 0, 0, 
3.015075e-01, 0, 0, 1.728365e-01, 7.422666e-01, 8.489685e-02, 0, 0, 0, 0, 0, 
3.065327e-01, 0, 0, 1.500088e-01, 7.477210e-01, 1.022701e-01, 0, 0, 0, 0, 0, 
3.115578e-01, 0, 0, 1.287973e-01, 7.499432e-01, 1.212596e-01, 0, 0, 0, 0, 0, 
3.165829e-01, 0, 0, 1.092018e-01, 7.489331e-01, 1.418651e-01, 0, 0, 0, 0, 0, 
3.216080e-01, 0, 0, 9.122244e-02, 7.446908e-01, 1.640868e-01, 0, 0, 0, 0, 0, 
3.266332e-01, 0, 0, 7.485922e-02, 7.372162e-01, 1.879245e-01, 0, 0, 0, 0, 0, 
3.316583e-01, 0, 0, 6.011212e-02, 7.265094e-01, 2.133785e-01, 0, 0, 0, 0, 0, 
3.366834e-01, 0, 0, 4.698114e-02, 7.125704e-01, 2.404485e-01, 0, 0, 0, 0, 0, 
3.417085e-01, 0, 0, 3.546628e-02, 6.953991e-01, 2.691346e-01, 0, 0, 0, 0, 0, 
3.467337e-01, 0, 0, 2.556754e-02, 6.749956e-01, 2.994369e-01, 0, 0, 0, 0, 0, 
3.517588e-01, 0, 0, 1.728492e-02, 6.513598e-01, 3.313553e-01, 0, 0, 0, 0, 0, 
3.567839e-01, 0, 0, 1.061842e-02, 6.244918e-01, 3.648898e-01, 0, 0, 0, 0, 0, 
3.618090e-01, 0, 0, 5.568041e-03, 5.943916e-01, 4.000404e-01, 0, 0, 0, 0, 0, 
3.668342e-01, 0, 0, 2.133785e-03, 5.610591e-01, 4.368072e-01, 0, 0, 0, 0, 0, 
3.718593e-01, 0, 0, 3.156486e-04, 5.244943e-01, 4.751900e-01, 0, 0, 0, 0, 0, 
3.768844e-01, 0, 0, 0, 4.850383e-01, 5.148481e-01, 1.136335e-04, 0, 0, 0, 0, 
3.819095e-01, 0, 0, 0, 4.462514e-01, 5.522209e-01, 1.527739e-03, 0, 0, 0, 0, 
3.869347e-01, 0, 0, 0, 4.090806e-01, 5.863615e-01, 4.557966e-03, 0, 0, 0, 0, 
3.919598e-01, 0, 0, 0, 3.735259e-01, 6.172698e-01, 9.204313e-03, 0, 0, 0, 0, 
3.969849e-01, 0, 0, 0, 3.395874e-01, 6.449458e-01, 1.546678e-02, 0, 0, 0, 0, 
4.020101e-01, 0, 0, 0, 3.072650e-01, 6.693897e-01, 2.334537e-02, 0, 0, 0, 0, 
