layer, time
1,1.100770e+00
2,1.225321e+00
3,1.432893e+00
4,1.554499e+00
5,1.618330e+00
6,1.777358e+00
7,1.784623e+00
8,1.937719e+00
9,1.998323e+00
10,2.071945e+00
11,2.223257e+00
12,2.193373e+00
13,2.172411e+00
14,2.388261e+00
15,2.392804e+00
16,2.432900e+00
17,2.444618e+00
18,2.482559e+00
19,2.543152e+00
20,6.568003e+00

