layer, time
1, 2.095172e+00,
2, 2.240334e+00,
3, 2.598695e+00,
4, 2.830740e+00,
5, 3.042654e+00,
6, 2.474020e-01,
7, 2.056500e-01,
8, 2.109430e-01,
9, 2.422890e-01,
10, 2.653430e-01,
11, 2.893090e-01,
12, 3.032680e-01,
13, 3.224890e-01,
14, 3.396530e-01,
15, 3.624450e-01,
16, 3.870230e-01,
17, 4.133650e-01,
18, 4.328680e-01,
19, 4.590000e-01,
20, 4.682750e-01,
