dofs,relError
7.967415e+00,0.1583
8.291618e+00,0.0618
9.143679e+00,0.0323
1.026533e+01,0.0096
1.248264e+01,0.002206947419043
1.767821e+01,0.002217167968555
3.030277e+01,9.011811697222097e-04

