layer, time
1, 2.380642e+00,
2, 2.292733e+00,
3, 2.653062e+00,
4, 2.855774e+00,
5, 3.070197e+00,
6, 3.817250e-01,
7, 2.742780e-01,
8, 2.804870e-01,
9, 3.252110e-01,
10, 3.475370e-01,
11, 3.741450e-01,
12, 3.901760e-01,
13, 4.113960e-01,
14, 4.242570e-01,
15, 4.445770e-01,
16, 4.747230e-01,
17, 5.045770e-01,
18, 5.260920e-01,
19, 5.443560e-01,
20, 5.705540e-01,
