layer, time
1, 2.280794e+00,
2, 2.423995e+00,
3, 2.802617e+00,
4, 3.048765e+00,
5, 3.280557e+00,
6, 6.369020e-01,
7, 5.929020e-01,
8, 6.029810e-01,
9, 6.691230e-01,
10, 7.091100e-01,
11, 7.585080e-01,
12, 7.790470e-01,
13, 7.807740e-01,
14, 7.965690e-01,
15, 8.203650e-01,
16, 9.061120e-01,
17, 9.033890e-01,
18, 9.383190e-01,
19, 1.170422e+00,
20, 9.838230e-01,
