layer, time
1, 2.159990e+00,
2, 2.272188e+00,
3, 2.647960e+00,
4, 2.843388e+00,
5, 3.082213e+00,
6, 5.755600e-01,
7, 6.104180e-01,
8, 6.223010e-01,
9, 6.934310e-01,
10, 7.322470e-01,
11, 7.755690e-01,
12, 7.917230e-01,
13, 8.187010e-01,
14, 8.314330e-01,
15, 8.588600e-01,
16, 9.051300e-01,
17, 9.330540e-01,
18, 9.748830e-01,
19, 9.938170e-01,
20, 1.028788e+00,
