layer, time
1, 1.691046e+01,
2, 2.012027e+01,
3, 2.289920e+01,
4, 2.419921e+01,
5, 2.506726e+01,
6, 2.689931e+01,
7, 2.799642e+01,
8, 2.918986e+01,
9, 2.938042e+01,
10, 3.412192e+01,
11, 1.718676e+00,
12, 1.745605e+00,
13, 1.823266e+00,
14, 2.072940e+00,
15, 1.972102e+00,
16, 2.094559e+00,
17, 2.193626e+00,
18, 2.442927e+00,
19, 2.505066e+00,
20, 2.469723e+00,

