layer, time
1,2.349442e+00
2,2.331327e+00
3,2.718931e+00
4,2.919503e+00
5,3.194923e+00
6,5.515120e-01
7,3.752140e-01
8,3.847440e-01
9,4.318460e-01
10,4.554910e-01
11,4.815390e-01
12,4.948110e-01
13,5.202650e-01
14,1.472406e+00
15,5.649430e-01
16,6.040590e-01
17,6.201190e-01
18,6.489300e-01
19,7.104660e-01
20,6.880730e-01

