layer, time
1,2.327510e+00
2,2.311416e+00
3,2.684204e+00
4,2.907819e+00
5,3.130228e+00
6,2.697430e-01
7,1.655870e-01
8,1.721320e-01
9,1.958580e-01
10,2.161470e-01
11,2.413290e-01
12,2.586590e-01
13,2.843350e-01
14,2.910890e-01
15,3.086470e-01
16,3.330220e-01
17,3.582950e-01
18,3.837870e-01
19,3.975180e-01
20,4.152050e-01

