layer, time
1, 1.004918e+00,
2, 1.191130e+00,
3, 1.467990e+00,
4, 1.669064e+00,
5, 1.795266e+00,
6, 1.930598e+00,
7, 2.044763e+00,
8, 2.174718e+00,
9, 2.396899e+00,
10, 2.507682e+00,
11, 2.585131e+00,
12, 2.795713e+00,
13, 2.797739e+00,
14, 2.978952e+00,
15, 3.120564e+00,
16, 3.424361e+00,
17, 3.384404e+00,
18, 3.483550e+00,
19, 3.491927e+00,
20, 3.636528e+00,
