1, -7.987000e-03, -6.742394e-04, 3.942327e-04, 
2, -2.804760e-02, -2.428117e-03, 1.035185e-03, 
3, -4.616324e-02, -4.092704e-03, 1.586015e-03, 
4, -6.239766e-02, -5.670989e-03, 2.050220e-03, 
5, -7.681483e-02, -7.165867e-03, 2.431380e-03, 
6, -8.947890e-02, -8.580144e-03, 2.733152e-03, 
7, -1.004542e-01, -9.916542e-03, 2.959268e-03, 
8, -1.098053e-01, -1.117770e-02, 3.113532e-03, 
9, -1.175967e-01, -1.236616e-02, 3.199812e-03, 
10, -1.238933e-01, -1.348442e-02, 3.222043e-03, 
11, -1.287598e-01, -1.453487e-02, 3.184215e-03, 
12, -1.322612e-01, -1.551985e-02, 3.090377e-03, 
13, -1.344623e-01, -1.644162e-02, 2.944628e-03, 
14, -1.354282e-01, -1.730238e-02, 2.751117e-03, 
15, -1.352239e-01, -1.810426e-02, 2.514036e-03, 
16, -1.339142e-01, -1.884934e-02, 2.237617e-03, 
17, -1.315641e-01, -1.953964e-02, 1.926131e-03, 
18, -1.282386e-01, -2.017712e-02, 1.583882e-03, 
19, -1.240023e-01, -2.076369e-02, 1.215202e-03, 
20, -1.189200e-01, -2.130122e-02, 8.244504e-04, 
21, -1.130563e-01, -2.179152e-02, 4.160095e-04, 
22, -1.064757e-01, -2.223637e-02, -5.720261e-06, 
23, -9.924240e-02, -2.263750e-02, -4.363224e-04, 
24, -9.142061e-02, -2.299661e-02, -8.713687e-04, 
25, -8.307429e-02, -2.331535e-02, -1.306422e-03, 
26, -7.426720e-02, -2.359536e-02, -1.737041e-03, 
27, -6.506290e-02, -2.383823e-02, -2.158781e-03, 
28, -5.552471e-02, -2.404552e-02, -2.567199e-03, 
29, -4.571569e-02, -2.421878e-02, -2.957857e-03, 
30, -3.569865e-02, -2.435953e-02, -3.326326e-03, 
31, -2.553612e-02, -2.446926e-02, -3.668185e-03, 
32, -1.529035e-02, -2.454945e-02, -3.979031e-03, 
33, -5.023271e-03, -2.460156e-02, -4.254473e-03, 
34, 5.203508e-03, -2.462703e-02, -4.490144e-03, 
35, 1.532870e-02, -2.462730e-02, -4.681698e-03, 
36, 2.529136e-02, -2.460378e-02, -4.824816e-03, 
37, 3.503092e-02, -2.455789e-02, -4.915205e-03, 
38, 4.448716e-02, -2.449102e-02, -4.948606e-03, 
39, 5.360023e-02, -2.440456e-02, -4.920791e-03, 
40, 6.231071e-02, -2.429992e-02, -4.827571e-03, 
41, 7.055955e-02, -2.417847e-02, -4.664794e-03, 
42, 7.828812e-02, -2.404161e-02, -4.428350e-03, 
43, 8.543820e-02, -2.389071e-02, -4.114172e-03, 
44, 9.195202e-02, -2.372716e-02, -3.718239e-03, 
45, 9.777224e-02, -2.355236e-02, -3.236579e-03, 
46, 1.028420e-01, -2.336768e-02, -2.665270e-03, 
47, 1.071048e-01, -2.317452e-02, -2.000441e-03, 
48, 1.105046e-01, -2.297430e-02, -1.238278e-03, 
49, 1.129861e-01, -2.276840e-02, -3.750212e-04, 
50, 1.144942e-01, -2.255825e-02, 5.930299e-04, 
51, 1.149742e-01, -2.234528e-02, 1.669516e-03, 
52, 1.143723e-01, -2.213090e-02, 2.858016e-03, 
53, 1.126347e-01, -2.191657e-02, 4.162044e-03, 
54, 1.097153e-01, -2.167957e-02, 5.569872e-03, 
55, 1.056371e-01, -2.114933e-02, 6.913956e-03, 
56, 1.004139e-01, -2.021947e-02, 8.140064e-03, 
57, 9.423406e-02, -1.900722e-02, 9.138466e-03, 
58, 8.707425e-02, -1.756787e-02, 9.691656e-03, 
59, 7.888520e-02, -1.590273e-02, 9.801175e-03, 
60, 6.961790e-02, -1.401297e-02, 9.468766e-03, 
61, 5.922387e-02, -1.189981e-02, 8.696138e-03, 
62, 4.765513e-02, -9.564461e-03, 7.484959e-03, 
63, 3.486420e-02, -7.008184e-03, 5.836859e-03, 
64, 2.080411e-02, -4.232244e-03, 3.753428e-03, 
65, 5.428405e-03, -1.237932e-03, 1.236214e-03, 
